bedrooms,bathrooms,sqft_living,lat,long
4,1.5,1780,47.5142,-122.163
4,2.5,2180,47.3673,-122.072
3,2.5,1870,47.342,-122.059
4,2.5,1890,47.343,-122.056
4,2.5,2660,47.3414,-122.055
3,2.75,2600,47.5773,-122.406
1,1.0,1940,47.5782,-122.4
3,1.5,2180,47.5787,-122.402
4,2.75,2240,47.5785,-122.402
4,2.25,2010,47.3585,-122.286
3,2.0,1550,47.5436,-122.378
2,1.75,1240,47.5439,-122.379
4,3.0,1490,47.5446,-122.382
3,1.0,1480,47.5498,-122.381
5,2.25,2060,47.4877,-122.335
3,1.75,1100,47.4864,-122.337
3,2.0,1700,47.4851,-122.338
4,1.75,1680,47.4552,-122.202
3,1.0,1000,47.4562,-122.193
3,1.0,1170,47.4562,-122.196
4,1.5,2060,47.6857,-122.353
2,1.0,980,47.6858,-122.352
4,2.5,2930,47.5424,-122.12
4,5.0,4630,47.587,-121.966
4,4.0,4930,47.5874,-121.965
4,3.75,3550,47.5888,-121.971
5,3.5,4380,47.5848,-121.969
5,3.75,4220,47.5869,-121.967
4,3.5,4460,47.5862,-121.97
4,5.25,4140,47.5871,-121.969
4,3.25,4400,47.5868,-121.968
4,3.5,4570,47.5859,-121.968
5,3.5,5050,47.5863,-121.967
5,4.25,4610,47.5878,-121.969
4,4.0,3010,47.5833,-121.97
4,2.5,3210,47.582,-121.971
5,2.75,3490,47.5825,-121.97
4,2.5,3230,47.5823,-121.97
4,4.0,3200,47.5816,-121.97
4,3.75,3320,47.5818,-121.972
4,2.5,4090,47.581,-121.971
4,3.5,4070,47.5805,-121.97
4,4.0,3280,47.5818,-121.973
3,3.5,3500,47.5807,-121.972
4,3.5,3560,47.5828,-121.972
4,3.25,3490,47.5834,-121.972
5,3.75,3830,47.5837,-121.971
4,2.5,3880,47.5841,-121.971
4,4.0,4620,47.5885,-121.939
3,2.25,1430,47.4867,-122.152
3,2.5,1520,47.4876,-122.153
3,2.5,1610,47.2827,-122.302
3,1.5,1300,47.3025,-122.37
3,1.75,2070,47.6733,-122.301
3,2.25,1590,47.2857,-122.3
4,2.0,1500,47.3127,-122.354
3,2.5,1480,47.3124,-122.351
3,2.5,1850,47.3103,-122.36
3,2.0,1320,47.3096,-122.357
4,3.5,1850,47.3087,-122.354
3,2.25,1460,47.3113,-122.358
4,2.5,1750,47.3082,-122.358
4,2.0,1610,47.3085,-122.358
4,2.5,1990,47.3078,-122.358
3,2.5,1870,47.3065,-122.358
3,2.5,2450,47.3061,-122.36
3,2.0,1520,47.3061,-122.361
4,2.5,1940,47.3063,-122.359
4,3.0,1990,47.3083,-122.36
4,2.75,2370,47.3071,-122.36
3,1.0,1470,47.7013,-122.368
2,1.0,840,47.7019,-122.366
3,1.75,1460,47.7755,-122.299
4,2.5,2300,47.2979,-122.371
3,1.75,1480,47.2977,-122.367
3,1.75,1850,47.2975,-122.37
4,2.25,1950,47.2957,-122.37
3,2.0,2330,47.2958,-122.368
5,1.5,1820,47.3712,-122.289
2,1.0,780,47.4816,-122.322
3,2.5,1620,47.736,-121.965
5,3.5,2450,47.7721,-122.241
2,2.25,1330,47.7689,-122.241
3,1.75,1560,47.7769,-122.25
4,2.5,2800,47.776,-122.246
3,1.5,1480,47.7766,-122.248
3,1.0,1090,47.7743,-122.26
6,3.0,3470,47.7663,-122.234
2,1.0,960,47.7642,-122.234
3,1.5,1170,47.7612,-122.234
3,2.5,1720,47.7688,-122.238
3,1.5,2100,47.7592,-122.23
4,1.75,1370,47.7572,-122.228
5,3.5,4060,47.757,-122.228
3,1.0,1430,47.7558,-122.229
3,1.0,2020,47.7552,-122.229
3,1.75,1560,47.2917,-122.366
4,4.25,1960,47.5849,-122.384
4,2.25,1920,47.5848,-122.384
3,1.75,1628,47.2558,-122.122
4,3.0,3620,47.2527,-121.98
3,2.5,2920,47.2492,-121.975
2,1.0,2034,47.3312,-122.503
3,1.5,1470,47.3302,-122.36
3,2.75,3610,47.3351,-122.362
3,1.75,1460,47.3311,-122.375
3,1.0,1030,47.3343,-122.362
4,2.5,2300,47.3412,-122.108
3,1.5,1900,47.4199,-121.99
2,1.0,910,47.6733,-122.37
4,1.0,1400,47.5166,-122.361
4,1.0,2370,47.5108,-122.366
4,2.5,1920,47.5153,-122.37
4,1.0,1910,47.5151,-122.366
1,1.0,620,47.5138,-122.364
1,1.0,620,47.5138,-122.364
4,2.75,2360,47.5117,-122.365
3,1.0,1300,47.5063,-122.369
2,2.0,970,47.5073,-122.372
2,1.0,820,47.514,-122.359
3,2.25,1330,47.5102,-122.364
3,2.5,1970,47.5031,-122.372
3,2.25,2190,47.5041,-122.102
4,2.25,3410,47.505,-122.11
3,2.0,1860,47.5157,-122.107
4,3.25,2730,47.5133,-122.11
2,1.0,1430,47.513,-121.857
4,1.0,1410,47.6606,-122.365
3,1.75,1670,47.5929,-121.989
2,1.0,1230,47.6815,-122.359
3,1.75,1550,47.6817,-122.36
6,4.5,3300,47.6795,-122.104
6,4.5,3300,47.6796,-122.104
4,3.75,5150,47.6795,-121.991
2,1.0,1140,47.7673,-122.367
3,2.0,1520,47.777,-122.362
1,1.0,540,47.7739,-122.358
4,2.75,2300,47.7771,-122.362
5,2.5,2690,47.7708,-122.362
4,2.5,3040,47.7747,-122.366
4,2.25,1800,47.7717,-122.376
3,1.75,1830,47.7754,-122.233
4,2.25,2150,47.7627,-122.245
3,1.75,1540,47.7663,-122.228
3,1.75,1530,47.7655,-122.244
3,3.0,1970,47.7651,-122.246
5,3.0,2200,47.7726,-122.111
4,2.25,1780,47.762,-122.11
4,2.5,3170,47.7648,-122.112
4,1.0,1020,47.7617,-122.11
3,3.5,2690,47.7717,-122.112
3,1.75,1880,47.7662,-122.114
3,2.25,3040,47.7635,-122.112
4,1.75,1800,47.7744,-122.338
4,2.5,2020,47.2796,-122.247
4,2.75,3160,47.7004,-122.287
2,1.0,680,47.5136,-122.316
3,1.0,1620,47.5136,-122.313
4,1.75,1990,47.5131,-122.313
5,2.5,2540,47.5123,-122.316
2,2.5,2000,47.5788,-122.396
3,2.5,2100,47.5865,-122.397
4,2.75,2600,47.5656,-122.4
3,1.75,2240,47.5658,-122.4
3,1.5,1790,47.5768,-122.403
2,2.5,1830,47.5779,-122.409
2,2.5,2540,47.5747,-122.414
2,1.0,970,47.5754,-122.414
2,1.0,940,47.5756,-122.414
4,3.25,4700,47.5744,-122.406
4,2.75,2440,47.5731,-122.408
3,1.75,1660,47.5734,-122.412
4,3.5,3070,47.5732,-122.411
4,2.0,2850,47.5876,-122.292
4,2.5,2105,47.3531,-122.147
3,1.0,1010,47.7304,-122.352
4,2.5,2140,47.729,-122.35
4,3.25,2780,47.7294,-122.352
2,1.0,1000,47.7294,-122.352
3,1.0,980,47.7294,-122.353
4,1.5,1810,47.7273,-122.351
5,3.5,3900,47.6607,-122.362
5,2.75,2720,47.6612,-122.363
2,1.0,600,47.4927,-122.28
4,2.5,1680,47.494,-122.279
3,1.5,1010,47.4925,-122.278
3,1.75,1800,47.4932,-122.278
3,2.5,1190,47.4933,-122.275
3,1.0,840,47.494,-122.275
3,1.75,1420,47.4928,-122.274
4,3.25,3450,47.4925,-122.273
5,2.0,2020,47.4891,-122.263
4,2.0,1880,47.495,-122.266
4,2.0,2490,47.5639,-122.217
4,2.5,2250,47.5645,-122.219
4,2.25,2160,47.5651,-122.221
4,3.5,3500,47.5641,-122.221
4,3.25,3410,47.5653,-122.223
3,2.75,2470,47.5651,-122.223
5,3.75,3570,47.5639,-122.223
2,1.0,1050,47.5627,-122.221
4,3.75,3160,47.5623,-122.221
5,2.25,2910,47.5633,-122.218
4,2.5,2620,47.5631,-122.219
3,1.5,1840,47.5607,-122.217
3,1.75,1480,47.513,-122.185
3,2.75,2100,47.4347,-121.417
3,1.5,1140,47.4752,-121.757
3,1.5,1140,47.4755,-121.758
3,1.5,1200,47.4752,-121.755
3,1.75,1510,47.476,-121.755
3,1.75,1140,47.4761,-121.758
4,2.5,2160,47.7754,-122.276
3,2.5,2070,47.2032,-121.964
3,1.75,1240,47.37,-122.151
3,1.75,1240,47.3705,-122.15
3,1.75,1170,47.6849,-122.117
4,2.75,2410,47.5651,-122.391
3,2.0,1940,47.5664,-122.389
2,1.0,1000,47.5659,-122.389
3,2.5,2010,47.7372,-122.223
3,2.75,2930,47.7648,-122.164
5,2.5,3000,47.6765,-122.175
3,2.5,2600,47.7387,-122.217
3,2.5,2620,47.7378,-122.218
3,2.5,2120,47.7374,-122.219
3,2.5,2570,47.7408,-122.216
3,2.5,2660,47.7383,-122.22
4,2.5,2590,47.738,-122.221
4,2.25,2050,47.7234,-122.107
3,2.5,1960,47.7236,-122.105
1,0.0,690,47.6429,-121.955
3,3.75,5400,47.6426,-121.955
1,1.0,530,47.6422,-121.954
3,2.5,2620,47.6384,-121.959
4,2.75,3160,47.6367,-121.958
5,2.5,2300,47.6403,-121.964
3,1.75,1820,47.6441,-121.96
2,1.0,1640,47.6397,-121.953
3,2.25,2440,47.6347,-121.958
2,1.0,1200,47.6337,-121.961
2,2.0,1540,47.638,-121.953
4,3.5,3760,47.6328,-121.964
3,2.75,2150,47.6596,-121.96
4,2.5,2770,47.6622,-121.961
4,2.5,3130,47.6618,-121.962
3,1.0,1300,47.64,-121.966
3,1.75,1150,47.6384,-121.969
4,2.0,1980,47.638,-121.968
3,2.0,1130,47.635,-121.964
3,1.0,1500,47.6385,-121.966
3,2.0,1680,47.6379,-121.966
4,2.5,2450,47.6323,-121.985
4,2.5,3270,47.6303,-121.984
4,3.5,3920,47.6316,-121.988
3,2.5,2320,47.6304,-121.988
4,2.5,2470,47.6303,-121.99
4,2.5,3200,47.6304,-121.994
4,2.75,2600,47.6382,-122.397
5,2.5,2450,47.7724,-122.168
4,2.5,2430,47.6777,-122.287
3,2.5,2740,47.473,-122.3
4,2.25,2040,47.7356,-122.335
3,2.25,1780,47.7774,-122.35
2,2.5,2200,47.2458,-122.002
3,2.5,1970,47.2498,-122.003
3,2.5,2090,47.3338,-122.511
3,2.5,2120,47.341,-122.265
2,0.75,1060,47.4285,-122.511
2,1.75,1780,47.4158,-122.002
3,3.5,3580,47.4239,-122.015
3,3.25,2250,47.4246,-122.014
2,1.0,1220,47.4219,-122.007
2,2.5,2390,47.5101,-122.391
2,1.0,900,47.5105,-122.387
3,3.0,3250,47.5123,-122.39
3,1.0,1100,47.5162,-122.261
3,1.0,1150,47.5974,-122.129
3,3.0,4910,47.5911,-122.131
3,1.5,1480,47.5914,-122.136
3,2.5,2070,47.5936,-122.013
3,1.0,1250,47.5956,-122.009
3,2.25,2120,47.5896,-122.009
2,1.0,1750,47.5946,-122.006
3,1.0,1440,47.591,-122.01
3,1.75,1880,47.5913,-122.01
3,1.75,1970,47.5936,-122.012
4,3.75,2540,47.5882,-122.01
3,2.5,3100,47.5882,-122.011
3,1.5,1940,47.6818,-122.388
4,2.75,2450,47.6865,-122.396
3,1.0,1210,47.6865,-122.397
5,3.0,2450,47.6828,-122.388
4,2.5,2180,47.6886,-122.388
4,2.5,2500,47.6778,-121.994
3,1.75,1930,47.6751,-121.993
4,3.0,2720,47.6749,-122.002
4,4.0,5545,47.676,-121.882
4,3.5,3380,47.7741,-122.379
5,2.0,1940,47.7751,-122.38
3,1.75,2220,47.774,-122.384
4,2.25,2350,47.7732,-122.382
6,2.5,2800,47.7735,-122.378
5,3.5,3490,47.7757,-122.391
4,2.75,3210,47.7743,-122.388
2,1.0,1840,47.7694,-122.124
3,1.75,1930,47.7692,-122.128
3,1.75,2090,47.7621,-122.127
3,1.75,2110,47.7701,-122.138
3,2.75,1560,47.7695,-122.126
4,2.5,2280,47.7628,-122.123
1,0.75,850,47.7654,-121.48
5,2.75,2540,47.5593,-122.3
3,2.5,1820,47.4318,-122.292
4,1.0,1440,47.4325,-122.291
4,1.0,1400,47.4339,-122.291
3,1.75,1650,47.4331,-122.291
3,2.75,2070,47.4327,-122.283
5,4.5,3540,47.4274,-122.28
4,2.25,1940,47.4253,-122.283
4,2.75,3550,47.425,-122.283
5,2.5,2740,47.4036,-122.205
4,2.5,2580,47.4042,-122.205
5,2.5,2740,47.4042,-122.204
3,1.75,1920,47.4544,-122.351
4,1.0,1560,47.4552,-122.354
3,1.75,2080,47.4536,-122.355
3,1.0,1300,47.6337,-122.199
5,3.75,4470,47.6321,-122.2
4,3.5,3845,47.6354,-122.198
4,4.5,4650,47.6349,-122.198
4,1.75,1350,47.6335,-122.196
4,2.5,2360,47.712,-122.229
4,2.25,2020,47.7262,-122.233
3,2.25,2510,47.3473,-122.314
4,2.5,2070,47.3487,-122.315
4,4.0,4810,47.6364,-122.214
4,2.75,3480,47.6354,-122.214
4,3.25,4140,47.6344,-122.215
4,2.5,4080,47.6344,-122.214
3,2.0,1470,47.3617,-122.061
3,1.75,2100,47.3622,-122.059
2,2.5,1860,47.776,-122.239
3,2.5,1860,47.776,-122.239
4,1.75,2000,47.5132,-122.389
2,1.0,1050,47.5128,-122.388
3,2.5,2220,47.5132,-122.387
6,3.75,2940,47.5122,-122.385
4,2.5,1620,47.5132,-122.384
3,1.0,1140,47.5122,-122.383
3,2.25,1790,47.7477,-122.171
3,2.5,1990,47.7477,-122.17
4,2.5,2020,47.3535,-122.017
3,2.5,1990,47.3531,-122.017
4,3.5,2690,47.3537,-122.018
5,2.75,3750,47.6039,-122.06
5,3.5,3840,47.6039,-122.059
3,2.5,2420,47.371,-122.018
4,2.5,2640,47.371,-122.017
3,2.5,2370,47.3696,-122.018
3,2.5,2060,47.3706,-122.017
3,2.5,2370,47.3706,-122.017
3,2.5,2060,47.3706,-122.018
3,2.5,2370,47.37,-122.019
3,2.5,2370,47.3699,-122.019
4,2.75,2630,47.7748,-122.244
3,2.5,2830,47.7382,-121.975
5,3.75,3570,47.7377,-121.974
3,2.25,1930,47.7453,-121.985
3,2.5,2090,47.745,-121.984
3,2.5,2100,47.7453,-121.984
3,2.5,1570,47.7456,-121.984
3,2.5,1970,47.7453,-121.984
4,2.5,1740,47.3401,-122.282
4,1.75,2120,47.4939,-122.297
3,1.5,1150,47.4931,-122.298
2,1.0,850,47.4889,-122.299
4,1.0,1130,47.4939,-122.3
3,2.0,1490,47.7639,-122.363
3,2.5,2050,47.759,-122.371
3,1.75,1610,47.7588,-122.36
3,1.75,1970,47.7602,-122.363
3,2.5,2670,47.51,-122.184
3,2.5,3040,47.51,-122.185
3,1.75,1250,47.6325,-122.121
3,1.0,1250,47.6329,-122.121
4,2.0,1420,47.6325,-122.121
4,2.0,1470,47.6316,-122.121
3,2.25,1460,47.6316,-122.119
4,1.0,2070,47.632,-122.119
3,1.0,1220,47.6326,-122.119
4,1.75,1920,47.6344,-122.118
5,1.5,1420,47.6348,-122.118
5,2.0,2290,47.634,-122.119
4,1.0,1650,47.6366,-122.118
3,1.75,1750,47.6289,-122.119
4,2.5,2280,47.6297,-122.117
4,1.75,2240,47.6294,-122.116
4,2.25,2130,47.629,-122.117
3,1.5,1250,47.6285,-122.117
4,2.0,1610,47.6301,-122.118
3,1.75,1250,47.6285,-122.118
4,1.75,1680,47.6286,-122.118
4,3.5,2770,47.6327,-122.109
3,2.5,1910,47.6324,-122.11
3,2.5,1440,47.6995,-122.346
3,2.5,1530,47.6985,-122.349
3,2.5,2160,47.6994,-122.349
2,1.0,830,47.6994,-122.347
3,2.25,1540,47.6991,-122.346
3,2.0,1150,47.6985,-122.348
3,1.75,1540,47.6985,-122.348
7,4.0,3440,47.6981,-122.349
3,2.5,1430,47.698,-122.349
3,2.5,1460,47.698,-122.349
3,2.5,1420,47.6982,-122.349
3,2.25,1370,47.6982,-122.347
5,2.5,2070,47.626,-122.104
3,2.25,1640,47.6252,-122.104
4,2.0,1790,47.6266,-122.103
5,2.5,3110,47.6301,-122.103
4,1.0,1650,47.4991,-122.164
4,3.0,2400,47.6466,-122.389
4,3.5,3960,47.6461,-122.389
3,1.75,2320,47.6449,-122.389
5,2.25,2960,47.6456,-122.389
3,2.0,2220,47.6426,-122.388
3,4.0,2550,47.6415,-122.392
5,2.5,3200,47.6398,-122.39
4,1.75,2320,47.6397,-122.388
6,3.0,2880,47.5873,-122.299
3,1.0,1200,47.5881,-122.299
4,2.0,2090,47.5893,-122.299
3,1.5,1310,47.5879,-122.299
3,1.5,1310,47.5873,-122.299
2,1.0,900,47.5877,-122.298
3,3.25,2330,47.5882,-122.295
4,1.75,1940,47.3736,-122.215
5,2.75,2530,47.3738,-122.214
4,2.25,3133,47.4255,-122.338
2,2.0,2180,47.5036,-122.387
3,1.75,2120,47.504,-122.382
2,1.0,2020,47.506,-122.384
6,1.75,2740,47.5062,-122.385
3,2.25,1445,47.5348,-122.072
2,2.5,1090,47.5347,-122.071
3,2.25,1410,47.5345,-122.069
3,2.25,1410,47.5344,-122.068
3,2.25,1410,47.5342,-122.067
3,2.5,1600,47.5341,-122.067
3,2.25,1445,47.5339,-122.067
3,2.25,1445,47.5341,-122.069
5,2.5,2350,47.6005,-122.204
4,2.0,1610,47.5333,-122.381
3,1.75,1640,47.5324,-122.38
3,1.5,2050,47.5325,-122.378
2,1.0,910,47.5322,-122.379
4,2.75,3300,47.6175,-122.056
4,2.75,3520,47.6181,-122.056
4,2.75,3540,47.6181,-122.056
4,3.5,3560,47.6178,-122.055
4,4.0,3970,47.6173,-122.056
4,2.25,1930,47.3783,-122.182
4,2.75,2900,47.7368,-122.232
4,2.5,3510,47.6016,-122.074
2,2.5,1170,47.6875,-122.339
3,2.5,2170,47.7767,-122.239
3,2.5,1980,47.7767,-122.239
4,4.25,4390,47.5566,-122.026
5,4.5,4130,47.5556,-122.03
5,4.5,4300,47.5557,-122.027
4,2.5,2940,47.7635,-122.044
4,3.5,3650,47.7711,-122.041
4,3.0,4270,47.7711,-122.048
3,2.5,2880,47.766,-122.044
4,2.5,3430,47.765,-122.045
4,2.5,2570,47.7076,-122.232
4,2.5,2460,47.7072,-122.232
4,2.5,1710,47.3448,-122.217
3,2.5,1489,47.3452,-122.217
3,2.25,1584,47.3451,-122.214
3,2.25,1489,47.3452,-122.215
3,2.25,1584,47.3454,-122.214
3,2.25,1489,47.3454,-122.214
4,2.75,2475,47.3452,-122.21
3,2.5,1852,47.3455,-122.21
4,2.75,2475,47.3452,-122.209
3,2.5,1852,47.3451,-122.209
4,2.75,2475,47.345,-122.209
3,2.25,1481,47.3457,-122.217
3,2.25,1481,47.3457,-122.217
3,2.0,1050,47.3206,-122.269
4,2.25,2710,47.3207,-122.266
4,2.0,2270,47.3264,-122.262
2,1.0,1300,47.327,-122.267
3,1.75,1300,47.3162,-122.194
3,2.75,3370,47.3411,-122.197
3,1.5,1370,47.2874,-122.192
4,2.25,1700,47.3385,-122.262
4,2.25,1500,47.3378,-122.263
4,2.25,1500,47.3378,-122.262
4,2.5,2540,47.5855,-122.031
4,2.5,2830,47.5851,-122.034
3,2.5,2200,47.4362,-122.178
2,1.5,1020,47.7003,-122.346
2,1.75,1480,47.558,-122.392
2,1.0,790,47.557,-122.395
2,1.0,920,47.5569,-122.394
4,1.0,1360,47.5054,-122.301
3,1.0,1480,47.5048,-122.301
4,1.0,1370,47.5046,-122.3
3,2.0,1730,47.3573,-122.2
4,2.5,2370,47.5633,-121.901
4,2.5,2730,47.6227,-122.029
4,2.5,2310,47.3737,-122.165
4,2.5,2310,47.3737,-122.164
5,2.0,2080,47.3424,-122.289
3,2.25,1820,47.331,-122.286
3,2.0,1760,47.3413,-122.29
3,1.0,1290,47.3356,-122.157
4,1.75,1560,47.3384,-122.164
3,1.75,1450,47.3343,-122.16
3,1.5,1810,47.3392,-121.897
2,1.0,820,47.4196,-122.165
4,2.5,2060,47.4229,-122.153
3,1.0,1250,47.426,-122.154
3,2.5,2650,47.4212,-122.144
4,2.5,1780,47.4239,-122.153
3,2.0,1940,47.4252,-122.159
3,2.0,2570,47.4199,-122.034
3,2.5,2280,47.4213,-122.033
3,2.0,1640,47.5162,-122.274
3,1.75,2180,47.5158,-122.281
3,1.0,1410,47.5031,-122.152
2,1.0,1210,47.5044,-122.148
5,2.5,3190,47.5104,-122.154
4,3.5,4370,47.5066,-122.148
4,2.75,3640,47.5078,-122.018
3,2.0,2460,47.5142,-122.021
4,3.75,3890,47.5052,-121.906
4,3.5,3190,47.501,-121.902
4,3.5,6370,47.5016,-121.905
2,1.0,1120,47.5105,-121.77
3,2.5,2400,47.5028,-121.769
3,1.75,1300,47.4996,-121.778
3,1.0,1300,47.5028,-121.77
3,1.75,1340,47.5021,-121.77
3,2.5,1920,47.5015,-121.773
4,3.0,1920,47.5718,-122.385
3,1.0,1710,47.5719,-122.385
3,1.0,1320,47.5711,-122.386
4,1.5,1560,47.6012,-122.152
4,2.75,2060,47.5934,-122.154
4,3.5,3110,47.592,-122.018
4,2.0,2340,47.5905,-122.022
4,4.0,4420,47.5914,-122.027
4,2.5,3110,47.6833,-122.271
2,2.5,2510,47.6832,-122.164
4,1.0,2170,47.6893,-122.164
4,1.5,1940,47.6892,-122.164
3,1.0,1330,47.6891,-122.159
4,2.5,3330,47.679,-122.153
5,2.75,3150,47.6759,-122.151
4,2.5,3340,47.6761,-122.152
4,2.25,2370,47.7684,-122.289
5,1.5,2940,47.7632,-122.29
2,1.0,1010,47.7651,-122.291
4,3.0,3810,47.7696,-122.021
3,2.5,2420,47.772,-122.022
3,2.5,2130,47.7754,-122.032
3,3.5,3830,47.7641,-122.023
4,2.5,3300,47.7657,-122.028
4,2.5,3450,47.7625,-122.025
4,3.25,3860,47.6855,-122.269
4,2.5,2330,47.6843,-122.267
5,3.75,3700,47.6865,-122.266
3,3.25,1876,47.6864,-122.265
4,3.25,3160,47.7001,-122.238
3,3.5,4490,47.6997,-122.24
3,2.5,2460,47.691,-122.095
3,2.5,2090,47.686,-122.095
3,1.75,2500,47.6917,-122.084
3,1.0,1000,47.6834,-122.097
3,2.0,1640,47.6829,-122.097
3,2.5,1360,47.6827,-122.097
3,1.0,1310,47.6826,-122.096
3,2.5,1360,47.6831,-122.096
2,1.0,1080,47.6078,-122.291
2,1.5,1010,47.5118,-122.189
2,1.0,990,47.5118,-122.188
2,1.5,1010,47.5128,-122.189
3,1.75,1480,47.1967,-121.998
3,1.0,940,47.6033,-122.3
5,1.0,2590,47.6038,-122.294
3,2.5,1880,47.657,-122.393
4,4.0,2680,47.6557,-122.388
3,1.75,1720,47.4999,-122.223
4,3.0,2290,47.574,-122.415
3,2.0,1660,47.5741,-122.414
4,1.75,2720,47.6788,-122.283
4,1.75,2340,47.6789,-122.281
4,2.5,2240,47.5011,-122.375
3,1.0,1040,47.7565,-122.339
5,1.75,3700,47.5086,-122.258
3,2.75,2000,47.5066,-122.259
3,1.5,1320,47.5068,-122.259
3,2.75,1850,47.7259,-122.226
3,1.0,1130,47.7254,-122.227
3,1.0,1060,47.7244,-122.226
4,1.0,1340,47.3313,-122.343
3,1.0,1360,47.4973,-122.256
3,1.0,960,47.4966,-122.255
2,1.0,960,47.5307,-122.277
2,1.0,970,47.5297,-122.277
2,1.0,700,47.5294,-122.276
3,1.75,1420,47.7535,-122.354
4,1.0,1360,47.7512,-122.318
3,1.0,800,47.7505,-122.317
3,1.75,1800,47.7505,-122.317
2,1.0,700,47.7515,-122.316
2,1.0,1060,47.7412,-122.327
3,1.75,1140,47.7407,-122.327
2,1.0,1180,47.7475,-122.342
2,1.0,1180,47.7477,-122.342
4,2.5,2090,47.7467,-122.339
3,1.0,1060,47.7465,-122.339
3,1.0,1050,47.7451,-122.339
2,1.0,740,47.4934,-122.173
2,1.0,700,47.4924,-122.175
2,1.0,700,47.4924,-122.174
2,1.0,700,47.4927,-122.172
4,1.0,1170,47.492,-122.172
2,1.0,860,47.492,-122.171
3,2.0,1990,47.2507,-122.039
2,1.0,700,47.4953,-122.169
2,1.0,700,47.4957,-122.168
3,1.0,960,47.4944,-122.165
2,1.5,1480,47.4942,-122.166
2,1.0,700,47.4934,-122.166
3,1.0,1050,47.4923,-122.165
3,1.0,1280,47.3298,-122.297
3,1.0,1510,47.3304,-122.304
2,1.0,990,47.3302,-122.305
3,2.5,2235,47.3326,-122.046
3,2.25,1480,47.3317,-121.927
4,2.25,3060,47.3397,-121.918
3,1.0,1580,47.4964,-122.168
4,2.5,2240,47.496,-122.169
3,1.0,960,47.497,-122.171
2,1.0,930,47.507,-122.302
3,2.0,2030,47.5082,-122.166
5,1.75,1880,47.5094,-122.165
3,1.0,1960,47.505,-122.171
4,2.5,2040,47.5051,-122.17
4,2.5,2150,47.5109,-122.183
4,2.5,2230,47.5073,-122.168
3,1.0,1390,47.4977,-122.175
3,2.0,1640,47.5945,-122.291
3,2.0,1400,47.5926,-122.299
2,1.5,830,47.5926,-122.3
1,1.5,1120,47.5924,-122.299
3,1.0,1300,47.593,-122.165
5,2.5,3020,47.5897,-122.179
4,2.25,2470,47.5924,-122.048
3,2.0,1380,47.5951,-122.036
4,2.75,2050,47.5945,-122.056
4,2.5,2460,47.5952,-122.056
3,2.25,2675,47.5916,-122.055
4,2.75,2440,47.5944,-122.042
7,3.75,5100,47.595,-122.04
4,3.25,3830,47.5953,-122.039
6,6.5,6260,47.5947,-122.039
3,1.75,1200,47.4959,-122.174
2,1.0,800,47.4959,-122.172
2,1.0,1150,47.4989,-122.171
3,1.0,960,47.4983,-122.172
2,1.0,870,47.498,-122.17
2,1.0,1280,47.6762,-122.299
3,2.5,3050,47.6772,-122.296
2,1.5,1070,47.6761,-122.3
3,2.5,1860,47.6775,-122.165
4,2.75,3660,47.6813,-122.048
3,2.5,2410,47.6789,-122.048
3,2.5,3100,47.6854,-122.048
4,2.25,2240,47.687,-122.047
